Airport,Year,Domestic,International,Latitude,Longitude
Sydney,2022,10610158,3059494,-33.947346,151.179428
Melbourne,2022,10920847,1896548,-37.663712,144.844788
Brisbane,2022,9240477,783040,-27.383333,153.118332
Perth,2022,4275485,481390,-31.9410266,115.9742173
Adelaide,2022,3677310,144022,-34.9403296,138.5249979
Gold Coast,2022,2914549,81652,-28.1589994,153.502998
Cairns,2022,2605943,19217,-16.87673,145.754135
Hobart,2022,1503838,1719,-42.837284,147.505005
Canberra,2022,1286179,0,-35.3041655,149.1903326
Townsville,2022,1194596,0,-19.2514990,146.7591636
