co2,pressure,temp,sea_surface_temp,salinity
413.36,1014.35,26.06,25.837,35.484
404.38,1009.49,27.83,27.639,35.343
458.92,1011.31,26.65,26.365,36.104
444.49,1010.93,30.07,29.821,34.839
444.45,1006.38,30.24,29.9,33.885
427.13,1008.96,30.13,29.89,33.868
408.67,1009.01,28.88,28.616,35.27
375.05,1007.36,29.33,29.054,35.251
405.92,1011.94,26.96,26.633,33.524
426.48,1001.5,29.58,29.343,34.949
464.69,1003.76,29.41,29.233,34.701
435.9,1001.97,29.73,29.402,35.059
417.78,1008.27,29.13,28.914,34.59
418.22,1008.17,29.12,28.894,34.669
448.93,1007.95,29.54,29.283,34.367
414.25,1007.8,27.36,27.115,34.091
420.56,1007,27.62,27.343,33.97
398.72,1013.74,27.13,26.879,35.141
422.5,1009.58,27.43,27.192,34.212
402.72,1013.02,26.89,26.57,35.198
377.71,1013,25.21,24.945,35.232
373.34,1014.18,25.21,24.949,35.292
375.74,1012.03,24.75,24.515,35.223
350.91,1019.05,22.13,21.836,35.4
348.34,1016.39,23.52,23.313,35.202
333.97,1019.18,20.93,20.617,35.565
355.29,1016.06,21.78,21.491,35.464
370.51,1013.43,24.6,24.3,35.31
368.7,1013.89,24.49,24.236,35.397
390.65,1012.1,25.04,24.78,35.537
397.93,1010.99,25.53,25.329,35.7
376.43,1013.48,23.37,23.068,35.559
364.67,1013.52,22.08,21.756,35.698
392.15,1011,25.87,25.67,35.608
384.79,1011.71,25.38,25.142,35.555
415.64,1011.08,26.65,26.379,35.926
397.82,1011.83,26.41,26.197,35.436
437.83,1009.12,26.7,26.46,35.777
424.37,1009.7,27.62,27.33,35.621
453.57,1007.88,28.98,28.726,35.949
439.2,1008.43,29.19,28.928,35.7
435.54,1009.39,28.79,28.554,35.571
445.63,1001.56,29.13,28.881,35.413
463.09,1004.52,29.85,29.549,35.92
430.28,1005.8,29.55,29.273,34.319
434.58,1007.52,28.75,28.513,35.559
413.05,1007,29.14,28.889,32.178
434.29,1009.27,29.42,29.172,32.669
434.3,1012.13,27.99,27.75,33.585
433.18,1010.79,28.61,28.357,33.494
426.37,1012.54,28.3,28.069,35.551
389.3,1013.28,26.21,25.942,35.263
434.91,1010.88,27.84,27.606,33.882
416.47,1011.79,26.93,26.712,34.684
402.92,1013.73,26.42,26.129,35.188
390.03,1015.76,25.75,25.489,35.285
379.47,1016.86,25.27,25.004,35.779
463.6,1011.39,30.16,29.915,34.367
439.43,1009.97,29.27,29.07,33.69
409.52,1013.46,27.33,27.139,35.632
428.8,1012.87,28.18,28.015,35.386
400.2,1013.57,27.2,26.94,35.662
418.33,1011.81,26.7,26.454,34.978
411.93,1009.82,29.22,28.955,34.777
390.1,1011.87,24.35,24.116,34.465
409.92,1011.04,25.6,25.418,34.202
423.17,1010.55,26.97,26.766,35.304
369.05,1013.76,24.5,24.233,35.437
356.15,1016.86,20.78,20.471,35.773
356.73,1019.28,20.65,20.392,35.763
426.45,1009.32,26.26,26.042,35.405
453.69,1011.46,27.6,27.406,34.999
435.8,1008.46,26.94,26.727,35.523
394.33,1011.3,25.57,25.33,35.642
388.07,1011.75,25.04,24.764,35.589
399.87,1011.28,23.01,22.795,35.887
417.13,1017.72,26.05,25.784,35.724
424.03,1008.23,28.07,27.876,35.663
443.54,1006.25,29.47,29.159,35.164
437.95,1005.05,28.99,28.684,35.141
424.32,1011.19,27.46,27.221,35.723
398.53,1011.79,26.07,25.818,35.861
444.74,1005.32,30.1,29.976,35.42
457.3,1005.86,30.01,29.724,35.417
420.88,1007.76,29.93,29.688,34.756
454.64,1008.98,30.87,30.683,34.564
430.62,1010.76,28.9,28.666,35.503
480.51,1012.61,28.68,28.435,36.205
446.02,1008.58,29.06,28.78,35.751
450.32,1004.83,30.11,29.769,33.372
439.71,1005.5,29.74,29.497,32.478
452.48,1009.74,29.3,29.048,35.523
447.28,1007.73,28.98,28.787,35.687
399.77,1014.51,26.21,25.992,35.349
483.67,1010.14,29.63,29.4,34.724
410.36,1011.29,27.18,26.951,35.248
426.66,1010.45,27.76,27.515,34.56
409.53,1014.97,26.13,25.916,34.409
429.31,1009.51,27.68,27.429,34.208
393.61,1015.36,24.21,23.986,34.706
