Facility Idenitifier,Hospital and Health Service,Facility Name,Address,Phone Number,Fax Number,Longitude,Latitude
1,Mater Public Hospitals, Mater Hospital Brisbane Public ,"Raymond Terrace, South Brisbane, 4101",(07) 3163 8111,,153.027792,-27.4854119
3,Mater Public Hospitals, Mater Mothers' Hospital Public ,"Raymond Terrace, South Brisbane, 4101",(07) 3163 1918,,153.027792,-27.4854119
4,Metro North, The Prince Charles Hospital ,"Rode Road, Chermside, 4032",(07) 3139 4000,,153.0234,-27.3899
11,Metro South, Princess Alexandra Hospital ,"199 Ipswich Road, Woolloongabba, 4102",(07) 3176 2111, (07) 3176 5657 ,153.0335376,-27.49738132
15,West Moreton, Ipswich Hospital ,"Chelmsford Avenue, Ipswich, 4305",(07) 3810 1111,,152.755302,-27.61822419
16,Metro North, Redcliffe Hospital ,"Anzac Avenue, Redcliffe, 4020",(07) 3883 7777, (07) 3883 7528 ,153.1078074,-27.22685962
17,Childrens Health Queensland, Ellen Barron Family Centre ,"Hamilton Road, Chermside, 4032",(07) 3139 6500, (07) 3139 6555 ,153.02245,-27.39088
22,Metro South, Queen Elizabeth Ii Jubilee Hospital ,"Cnr Kessels & Troughton Roads, Coopers Plains, 4108",(07) 3182 6111, (07) 3182 8807 ,153.0489,-27.5594
28,Metro South, Redland Hospital ,"Weippin Street, Cleveland, 4163",(07) 3488 3111, (07) 3176 3588 ,153.0445289,-27.4914461
29,Metro South, Logan Hospital ,"Cnr Armstrong & Loganlea Roads, Meadowbrook, 4131",(07) 3299 8899, (07) 3299 8888 ,153.12066,-27.67734
30,Metro North, Caboolture Hospital ,"Mckean Street, Caboolture, 4510",(07) 5433 8888, (07) 5433 8700 ,152.9582953,-27.07888319
32,Sunshine Coast, Sunshine Coast University Hospital ,"6 Doherty Street, Birtinya, 4575",(07) 5202 0000,,153.1133403,-26.74701723
41,Metro South, Beaudesert Hospital ,"64 Tina Street, Beaudesert, 4285",(07) 5541 9111, (07) 5541 9199 ,153.0023057,-27.9856694
42,West Moreton, Boonah Hospital ,"11-17 Leonard Street, Boonah, 4310",(07) 5463 3300,,152.6790523,-27.99910148
43,Sunshine Coast, Caloundra Hospital ,"West Terrace, Caloundra, 4551",(07) 5436 8500, (07) 5491 7540 ,153.06632,-26.65015
44,West Moreton, Esk Hospital ,"30 Highland Street, Esk, 4312",(07) 5424 4600,,152.4181454,-27.24034821
45,West Moreton, Gatton Hospital ,"97-103 William Street, Gatton, 4343",(07) 5468 4188,,152.2762259,-27.56682423
46,Metro North, Kilcoy Hospital ,"19 Brown Street, Kilcoy, 4515",(07) 5422 4411, (07) 5422 4445 ,152.5614823,-26.94091759
47,West Moreton, Laidley Hospital ,"75 William Street, Laidley, 4341",(07) 5466 8100,,152.39977,-27.63308
