property,price,bedrooms,bathrooms,parking
Apartment,99950,0,1,1
Apartment,175000,1,1,1
Apartment,180000,1,1,0
Apartment,180000,1,1,0
Apartment,215000,1,1,1
Apartment,215000,1,1,1
Apartment,240000,1,1,1
Apartment,275000,1,1,1
Apartment,279000,1,1,0
Apartment,280000,1,1,1
Apartment,280000,1,1,1
Apartment,290000,1,1,1
Apartment,299000,1,1,1
Apartment,299000,1,1,1
Apartment,315000,1,1,1
Apartment,315000,1,1,1
Apartment,350000,1,1,1
Apartment,350000,1,1,1
Apartment,395000,1,1,2
Apartment,460000,1,1,1
Apartment,465000,1,1,1
Apartment,465000,1,1,1
Apartment,490000,1,1,1
Apartment,490000,1,1,1
Apartment,500000,1,1,1
Apartment,500000,1,1,1
House,259000,1,1,0
House,259000,1,1,0
House,370000,1,1,3
House,450000,1,1,1
House,450000,1,1,1
Apartment,115000,1,1,0
Apartment,145000,1,1,0
Apartment,145000,1,1,0
Apartment,149000,1,1,1
Apartment,165000,1,1,1
Apartment,195000,1,1,1
Apartment,219000,1,1,1
Apartment,219000,1,1,1
Apartment,220000,1,1,1
Apartment,250000,1,1,1
Apartment,250000,1,1,2
Apartment,250000,1,1,1
Apartment,269000,1,1,2
Apartment,270000,1,1,1
Apartment,270000,1,1,1
Apartment,283000,1,1,1
Apartment,289000,1,1,1
Apartment,289000,1,1,1
Apartment,289000,1,1,1
Apartment,335000,1,1,1
Apartment,335000,1,1,1
Apartment,337500,1,1,0
Apartment,337500,1,1,0
Apartment,380000,1,1,1
Apartment,389000,1,1,1
Apartment,430000,1,1,1
Apartment,440000,1,1,1
Apartment,580000,1,1,1
Apartment,580000,1,1,1
Apartment,275000,2,1,1
Apartment,275000,2,1,1
Apartment,280000,2,1,1
Apartment,315000,2,2,2
Apartment,325000,2,2,2
Apartment,325000,2,1,1
Apartment,325000,2,1,2
Apartment,325000,2,2,2
Apartment,349000,2,1,1
Apartment,370000,2,2,0
Apartment,380000,2,2,0
Apartment,380000,2,1,1
Apartment,380000,2,2,1
Apartment,380000,2,2,0
Apartment,385000,2,2,2
Apartment,387000,2,2,1
Apartment,389000,2,2,2
Apartment,399000,2,2,2
Apartment,399000,2,2,2
Apartment,400000,2,2,1
Apartment,400000,2,2,1
Apartment,400000,2,2,1
Apartment,400000,2,2,1
Apartment,420000,2,2,2
Apartment,420000,2,2,2
Apartment,425000,2,2,2
Apartment,429000,2,2,2
Apartment,430000,2,2,2
Apartment,430000,2,2,2
Apartment,430000,2,2,2
Apartment,435000,2,2,2
Apartment,449000,2,2,0
Apartment,450000,2,2,1
Apartment,450000,2,2,2
Apartment,450000,2,2,1
Apartment,455000,2,2,1
Apartment,455000,2,2,1
Apartment,479000,2,2,2
Apartment,489000,2,2,1
Apartment,489000,2,2,1
Apartment,490000,2,2,2
Apartment,490000,2,2,1
Apartment,490000,2,2,2
