Date,Opening Price,Closing Price
27-Feb-23,3992.36,3982.24
24-Feb-23,3973.24,3970.04
23-Feb-23,4018.6,4012.32
22-Feb-23,4001.83,3991.05
21-Feb-23,4052.35,3997.34
17-Feb-23,4077.39,4079.09
16-Feb-23,4114.75,4090.41
15-Feb-23,4119.5,4147.6
14-Feb-23,4126.7,4136.13
13-Feb-23,4096.62,4137.29
10-Feb-23,4068.92,4090.46
9-Feb-23,4144.25,4081.5
8-Feb-23,4153.47,4117.86
7-Feb-23,4105.35,4164
6-Feb-23,4119.57,4111.08
3-Feb-23,4136.69,4136.48
2-Feb-23,4158.68,4179.76
1-Feb-23,4070.07,4119.21
31-Jan-23,4020.85,4076.6
30-Jan-23,4049.27,4017.77
27-Jan-23,4053.72,4070.56
26-Jan-23,4036.08,4060.43
25-Jan-23,3982.71,4016.22
24-Jan-23,4001.74,4016.95
23-Jan-23,3978.14,4019.81
20-Jan-23,3909.04,3972.61
19-Jan-23,3911.84,3898.85
18-Jan-23,4002.25,3928.86
17-Jan-23,3999.28,3990.97
13-Jan-23,3960.6,3999.09
12-Jan-23,3977.57,3983.17
11-Jan-23,3932.35,3969.61
10-Jan-23,3888.57,3919.25
9-Jan-23,3910.82,3892.09
6-Jan-23,3823.37,3895.08
5-Jan-23,3839.74,3808.1
4-Jan-23,3840.36,3852.97
3-Jan-23,3853.29,3824.14
30-Dec-22,3829.06,3839.5
29-Dec-22,3805.45,3849.28
28-Dec-22,3829.56,3783.22
27-Dec-22,3843.34,3829.25
23-Dec-22,3815.11,3844.82
22-Dec-22,3853.26,3822.39
21-Dec-22,3839.49,3878.44
20-Dec-22,3810.47,3821.62
19-Dec-22,3853.79,3817.66
16-Dec-22,3890.91,3852.36
15-Dec-22,3958.37,3895.75
14-Dec-22,4015.54,3995.32
13-Dec-22,4069.38,4019.65
12-Dec-22,3939.29,3990.56
9-Dec-22,3954.17,3934.38
8-Dec-22,3947.79,3963.51
7-Dec-22,3933.28,3933.92
6-Dec-22,3996.63,3941.26
5-Dec-22,4052.02,3998.84
2-Dec-22,4040.17,4071.7
1-Dec-22,4087.14,4076.57
30-Nov-22,3957.18,4080.11
29-Nov-22,3964.19,3957.63
28-Nov-22,4005.36,3963.94
25-Nov-22,4023.34,4026.12
23-Nov-22,4000.3,4027.26
22-Nov-22,3965.51,4003.58
21-Nov-22,3956.23,3949.94
18-Nov-22,3966.39,3965.34
17-Nov-22,3919.26,3946.56
16-Nov-22,3976.82,3958.79
15-Nov-22,4006.41,3991.73
14-Nov-22,3977.97,3957.25
11-Nov-22,3963.72,3992.93
10-Nov-22,3859.89,3956.37
9-Nov-22,3810.94,3748.57
8-Nov-22,3817.02,3828.11
7-Nov-22,3780.71,3806.8
4-Nov-22,3766.98,3770.55
3-Nov-22,3733.25,3719.89
2-Nov-22,3852.9,3759.69
1-Nov-22,3901.79,3856.1
31-Oct-22,3881.85,3871.98
28-Oct-22,3808.26,3901.06
27-Oct-22,3834.69,3807.3
26-Oct-22,3825.97,3830.6
25-Oct-22,3799.44,3859.11
24-Oct-22,3762.01,3797.34
21-Oct-22,3657.1,3752.75
20-Oct-22,3689.05,3665.78
19-Oct-22,3703.11,3695.16
18-Oct-22,3746.26,3719.98
17-Oct-22,3638.65,3677.95
14-Oct-22,3690.41,3583.07
13-Oct-22,3520.37,3669.91
12-Oct-22,3590.83,3577.03
11-Oct-22,3595.86,3588.84
10-Oct-22,3647.51,3612.39
7-Oct-22,3706.74,3639.66
6-Oct-22,3771.97,3744.52
5-Oct-22,3753.25,3783.28
4-Oct-22,3726.46,3790.93
3-Oct-22,3609.78,3678.43
30-Sep-22,3633.48,3585.62
29-Sep-22,3687.01,3640.47
28-Sep-22,3651.94,3719.04
27-Sep-22,3686.44,3647.29
26-Sep-22,3682.72,3655.04
23-Sep-22,3727.14,3693.23
22-Sep-22,3782.36,3757.99
21-Sep-22,3871.4,3789.93
20-Sep-22,3875.23,3855.93
19-Sep-22,3849.91,3899.89
16-Sep-22,3880.95,3873.33
15-Sep-22,3932.41,3901.35
14-Sep-22,3940.73,3946.01
13-Sep-22,4037.12,3932.69
12-Sep-22,4083.67,4110.41
9-Sep-22,4022.94,4067.36
8-Sep-22,3959.94,4006.18
7-Sep-22,3909.43,3979.87
6-Sep-22,3930.89,3908.19
2-Sep-22,3994.66,3924.26
1-Sep-22,3936.73,3966.85
31-Aug-22,4000.67,3955
