id,course,mode,tutorial,studio,major
6c6a005f-b7b2-4250-a025-a3d6d4d574f7,IN27,PT,TUT 6,STU 3,IN27MJR-STATDAT
b394172e-ba89-4d1d-9e69-e24fe10f8b3a,IN20,FT,TUT 2,STU 2,IN20MJR-DATASC
9d912798-7cf2-49dd-99c0-096b79f985d5,IN20,FT,TUT 5,STU 3,IN20MJR-SOFTDEV
377e91bf-7e57-47f6-b583-10a21e7ec73c,IN23,FT,TUT 3,STU 1, 
b3538492-3171-41e8-b130-bde084de87ce,IN27,FT,TUT 5,,IN27MJR-BIOMEDS
3dc62211-dcf6-43ee-a1a1-6d08d534e2d8,IN27,FT,TUT 6,STU 3,IN27MJR-COMPDAT
bc911c9b-2275-40b6-82cd-da5872063a22,IN26,PT,TUT 5,STU 3, 
89a575df-6625-4c54-9165-5d221ce198f6,IN27,FT,TUT 6,STU 2,IN27MJR-COMPDAT
57dc553d-35b8-491d-8e71-daf427bb183e,IN27,FT,TUT 3,STU 3,IN27MJR-COMPDAT
459aa163-29b1-44ce-af0a-97c1483821d6,IN27,PT,TUT 5,STU 2,IN27MJR-COMPDAT
28f23661-9e53-446a-a51b-a1a511dc8301,IN27,FT,TUT 3,STU 2,IN27MJR-STATDAT
034b4b94-4280-4e7f-9bdf-3280a154e7ba,IN20,FT,TUT 1,STU 3,IN20MJR-SOFTDEV
35ab0ab0-0c9f-41a6-951d-d2652282c089,IN27,FT,TUT 2,STU 2, 
675a5241-3c15-4edc-b9df-96aec0d070d4,IN26,FT,TUT 3,STU 1, 
2cd14663-8a19-4b31-9e9e-f554faa48ed6,IN26,PT,TUT 1,STU 2, 
d232965a-7241-4173-8013-6f49dedc970e,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
2c906cc5-ab74-420f-b5f8-a27fab3d732f,IN27,PT,TUT 5,STU 3,IN27MJR-STATDAT
7d4bddc6-b4c7-4a60-9584-29bb8edd66a4,IN27,PT,TUT 5,STU 3, 
b3408428-05e3-4b5e-b20b-97f33db8af3c,IN27,PT,TUT 6,STU 3, 
f5372c67-cf50-4b14-bbe2-3805a7183900,IN20,PT,TUT 5,STU 2,IN20MJR-DATASC
a81af1a6-3a12-4033-ad99-1d2ba274411e,IN27,FT,TUT 3,STU 3, 
bf19d073-5a8c-441b-af85-25481c299be2,IN26,PT,,STU 3, 
19bade54-a720-46c8-a10a-3dae1307cf6f,IN27,PT,,STU 3,
a4682b4f-bc50-407c-bf06-079e3e280d29,IN20,PT,TUT 3,STU 3,IN20MJR-SOFTDEV
83cc4bcf-7a6c-4c4e-a3fa-f3808084c11a,IN27,FT,TUT 2,STU 2, 
0f5a629e-b63b-4f58-93af-fd9bebf9fbab,IN27,FT,TUT 2,STU 2,IN27MJR-COMPDAT
94288765-1fa9-4c4c-b02e-4e0364b66177,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
2325664b-1f76-4771-b37b-9b89fede7e8a,IN20,FT,TUT 1,STU 3,IN20MJR-COMPSC
c3bcd512-bef8-4c66-9b8b-f693c18117a7,IN26,PT,TUT 5,STU 3, 
93466112-2e6b-42da-abf2-31e8e83798c6,IN20,FT,TUT 1,STU 3,IN20MJR-BUSANAL
e0f942cd-126f-41f1-bdd3-313fdaaba131,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
b31de6cb-c500-4ba5-9f62-95aa61ea01b5,IN27,FT,TUT 5,STU 3,IN27MJR-STATDAT
3bd9dfea-d21d-434a-b7e6-5aaeca79966d,IN27,PT,TUT 1,STU 1, 
f7ed19a7-2ae9-4d1d-b279-c9f353e0a5bb,IN27,FT,TUT 6,STU 3, 
06987639-e674-43ae-a03a-a2e3b77acec2,IN20,FT,TUT 5,STU 1,IN20MJR-DATASC
a4d3c200-c3e1-41f1-a5f4-f91a83ce78f6,IN20,PT,TUT 5,STU 1,IN20MJR-BUSANAL
7a30400a-a50c-43e6-94e6-5081b2ece063,IN20,FT,TUT 5,STU 3,IN20MJR-COMPSC
18ccee3c-a7d2-4f5b-9711-522fd3d1f3f4,IN27,FT,TUT 1,STU 1, 
90cda62d-22b7-491e-afc1-5be41614d16c,IN26,FT,TUT 6,STU 2, 
587422fd-2b0a-4f09-a7b2-c76fe6ca7740,IN27,PT,TUT 3,STU 1, 
62d71e46-95d8-45dd-9c1f-d74810400e3f,IN20,PT,TUT 3,STU 1,IN20MJR-DATASC
d0c7719c-1033-45ce-b234-1c417f38373c,IN27,FT,TUT 3,STU 2, 
34f9d573-1d30-4859-a0b9-958ef878be88,IN20,FT,TUT 2,STU 2,IN20MJR-DATASC
bb653273-3993-4225-bd31-4b9983db1cdb,IN20,FT,TUT 1,STU 1,IN20MJR-DATASC
fd6751d0-103d-4712-9a0b-70685b822387,IN20,PT,TUT 1,STU 3,IN20MJR-COMPSC
4b38bf59-5bc9-4e10-b5a3-995fc97df6f2,IN27,FT,TUT 2,STU 2,IN27MJR-STATDAT
2b607fd6-4ad8-4f87-8d1c-1b530330c7af,IN20,PT,TUT 3,STU 2,IN20MJR-DATASC
fc9a825f-4df9-43dd-8dad-0e3afd1ebed1,IN26,PT,TUT 6,STU 3, 
ededbfd8-b653-4603-9107-87a5e9c6444b,IN27,FT,TUT 1,STU 1,IN27MJR-COMPDAT
0e4b0994-124e-49ff-ac0a-5d19109f2759,IN27,FT,TUT 6,STU 3, 
3a267e1f-6848-40ba-9754-5112f6992039,IN27,PT,TUT 2,STU 2,IN27MJR-COMPDAT
e66adc81-0ae5-4ecd-854b-1f165556e8bc,IN27,PT,TUT 5,STU 3,IN27MJR-COMPDAT
bc15a020-9e1c-47ac-8828-09a71c5906e5,IN20,PT,TUT 6,STU 3,IN20MJR-DATASC
f95a2b0c-02fc-4542-89f8-1c14359b55e6,IN27,FT,TUT 2,STU 2,IN27MJR-COMPDAT
8e8e32d1-cefe-49d7-b974-280d24e67e4d,IN27,PT,TUT 6,STU 3,IN27MJR-BIOMEDS
179ba516-4de1-46c9-8fa2-fd9b774ee121,IN27,FT,TUT 5,STU 3,IN27MJR-STATDAT
1805efba-c521-4bd7-9a80-ced3b28a162a,IN20,PT,TUT 1,STU 2,IN20MJR-BUSANAL
3a75343c-9fe3-4664-b324-779234305a27,IN20,PT,TUT 1,STU 1,IN20MJR-DATASC
87d51083-ba01-4d8d-a9f4-3890e086a56d,IN27,FT,TUT 3,STU 1, 
aeaeba21-18cd-45f5-bfbd-83830c53b9cd,IN20,PT,TUT 2,STU 3,IN20MJR-DATASC
73f6a0e0-53a3-48c3-b5f6-8a61ab0c912c,IN20,FT,TUT 5,STU 3,IN20MJR-DATASC
b0014356-36e4-4905-bffb-a018465c9da7,IN20,FT,TUT 3,STU 1,IN20MJR-COMPSC
316b78fd-052b-45a4-a550-66cb04d71079,IN26,FT,TUT 1,STU 1, 
c95f07f9-aab5-431c-8375-800717c5f36a,IN23,FT,TUT 3,STU 1, 
7474fb02-a8b2-4596-8a11-02f2d8cc8a09,IN27,FT,TUT 2,STU 2, 
91399528-4f12-4bb6-ad45-b53619e186a1,IN27,FT,TUT 5,STU 3,IN27MJR-STATDAT
bfb95834-325a-4e11-92b1-ba5473e32548,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
2c879c8b-87ca-43bd-93b9-2cd395a8f7dc,IN20,PT,TUT 3,STU 1,IN20MJR-DATASC
1ae3273e-50ce-413e-bf09-b3a17415d470,IN27,FT,TUT 1,STU 1,IN27MJR-COMPDAT
f4f2c074-b220-4c0e-be19-c3b6490109cc,IN20,FT,TUT 1,STU 3,IN20MJR-DATASC
372d0238-5e4d-42c9-9f1c-f2c7ab1cfed6,IN27,PT,TUT 6,STU 3,IN27MJR-STATDAT
bbb53caa-f5d4-430f-acc2-3955fe8efc8a,IN27,FT,TUT 5,STU 2, 
d4a135b8-9688-4f9d-bb77-caa3bfe84825,IN27,FT,TUT 3,STU 2, 
be55c544-a7e8-41c1-ba47-804c284a566c,IN27,FT,TUT 6,STU 2, 
53ce4261-3e17-4d72-a772-e3b7e28fb479,IN27,PT,TUT 3,STU 3, 
4d91eb64-78e7-4127-848a-f6adef29dfeb,IN23,FP,TUT 6,STU 3, 
072b7f40-fd85-4a5a-b583-85ca58ccdc9d,IN27,FT,TUT 6,STU 2,IN27MJR-STATDAT
01f89508-65a9-4586-93bd-61ef8ea6fe3d,IN27,FT,TUT 3,STU 1,IN27MJR-COMPDAT
eb192f12-0ab6-4784-ad58-2f5abd99177c,IN27,FT,TUT 6,STU 3, 
3b82799e-0097-4225-9e15-5dcfc1a7444e,IN20,FT,TUT 1,STU 2,IN20MJR-DATASC
c232e1f8-9eee-49f6-8f21-796ddd4f7a6f,IN20,FT,TUT 3,STU 2,IN20MJR-DATASC
501a29b1-ebdd-455f-b83b-8910269fc996,IN20,FT,TUT 2,STU 2,IN20MJR-DATASC
6426cb8d-cf9e-414c-921b-eaeb7adc77dc,,FT,TUT 2,STU 2, 
d053923b-83b6-4135-8b3a-026d56c3bac8,IN26,PT,TUT 5,STU 3, 
26ae5734-24fc-4cdf-a912-28402eac73d0,IN27,FP,TUT 5,STU 2, 
d01d3c20-328d-4e5e-9ea3-9c9ea6e7de3b,IN20,FP,TUT 5,STU 3,IN20MJR-COMPSC
cc628cb9-d130-48b8-8681-0dbee8afce31,IN27,PT,TUT 6,STU 3, 
7176c0e9-329b-477d-9868-635b315fa84e,IN27,FT,TUT 6,STU 3,IN27MJR-STATDAT
4552cacb-7093-4a2e-a274-2b837dad24c8,IN20,FT,TUT 5,STU 3,IN20MJR-COMPSC
42c05f33-1851-445c-beb9-f18883a45d16,IN20,FT,TUT 3,STU 1,IN20MJR-DATASC
1d3a4e44-1408-4e6d-8880-17221cacada8,IN27,FT,TUT 3,STU 1, 
d5db6716-91e7-4b68-9cba-a9787fc4adf0,IN27,PT,TUT 5,STU 3,IN27MJR-BIOMEDS
0b987a7a-99b1-4cb2-8fa4-7e1a5b49f0f2,IN20,FT,TUT 6,STU 3,IN20MJR-BUSANAL
65b61cf3-0305-4125-9f62-a8ea5cb747ab,IN20,FT,TUT 5,STU 1,IN20MJR-COMPSC
