STUD,COURSE,INT,MODE
1008,Graduate Certificate in Data Analytics,N,C
1009,Graduate Certificate in Data Analytics,N,C
1012,Graduate Certificate in Data Analytics,N,C
1014,Graduate Certificate in Data Analytics,N,C
1015,Graduate Certificate in Data Analytics,N,C
1017,Graduate Certificate in Data Analytics,N,C
1019,Graduate Certificate in Data Analytics,N,C
1004,Graduate Certificate in Data Analytics,N,V
1005,Graduate Certificate in Data Analytics,N,V
1006,Graduate Certificate in Data Analytics,N,V
1007,Graduate Certificate in Data Analytics,N,V
1010,Graduate Certificate in Data Analytics,N,V
1013,Graduate Certificate in Data Analytics,N,V
1016,Graduate Certificate in Data Analytics,N,V
1018,Graduate Certificate in Data Analytics,N,V
1011,Graduate Certificate in Data Analytics,Y,C
1003,Graduate Certificate in Data Analytics,Y,V
1025,Master of Business Process Management,N,C
1021,Master of Business Process Management,N,V
1022,Master of Business Process Management,N,V
1023,Master of Business Process Management,Y,C
1024,Master of Business Process Management,Y,C
1026,Master of Business Process Management,Y,V
1029,Master of Data Analytics,N,C
1031,Master of Data Analytics,N,C
1042,Master of Data Analytics,N,C
1049,Master of Data Analytics,N,C
1053,Master of Data Analytics,N,C
1116,Master of Data Analytics,N,C
1120,Master of Data Analytics,N,C
1140,Master of Data Analytics,N,C
1141,Master of Data Analytics,N,C
1142,Master of Data Analytics,N,C
1179,Master of Data Analytics,N,C
1193,Master of Data Analytics,N,C
1195,Master of Data Analytics,N,C
1198,Master of Data Analytics,N,C
1028,Master of Data Analytics,N,V
1030,Master of Data Analytics,N,V
1032,Master of Data Analytics,N,V
1034,Master of Data Analytics,N,V
1035,Master of Data Analytics,N,V
1036,Master of Data Analytics,N,V
1037,Master of Data Analytics,N,V
1038,Master of Data Analytics,N,V
1041,Master of Data Analytics,N,V
1043,Master of Data Analytics,N,V
1045,Master of Data Analytics,N,V
1047,Master of Data Analytics,N,V
1051,Master of Data Analytics,N,V
1052,Master of Data Analytics,N,V
1054,Master of Data Analytics,N,V
1075,Master of Data Analytics,N,V
1107,Master of Data Analytics,N,V
1110,Master of Data Analytics,N,V
1111,Master of Data Analytics,N,V
1114,Master of Data Analytics,N,V
1121,Master of Data Analytics,N,V
1144,Master of Data Analytics,N,V
1145,Master of Data Analytics,N,V
1150,Master of Data Analytics,N,V
1158,Master of Data Analytics,N,V
1164,Master of Data Analytics,N,V
1180,Master of Data Analytics,N,V
1185,Master of Data Analytics,N,V
1191,Master of Data Analytics,N,V
1194,Master of Data Analytics,N,V
1196,Master of Data Analytics,N,V
1197,Master of Data Analytics,N,V
1027,Master of Data Analytics,Y,C
1039,Master of Data Analytics,Y,C
1040,Master of Data Analytics,Y,C
1044,Master of Data Analytics,Y,C
1048,Master of Data Analytics,Y,C
1055,Master of Data Analytics,Y,C
1057,Master of Data Analytics,Y,C
1058,Master of Data Analytics,Y,C
1061,Master of Data Analytics,Y,C
1062,Master of Data Analytics,Y,C
1066,Master of Data Analytics,Y,C
1067,Master of Data Analytics,Y,C
1068,Master of Data Analytics,Y,C
1069,Master of Data Analytics,Y,C
1070,Master of Data Analytics,Y,C
1071,Master of Data Analytics,Y,C
1072,Master of Data Analytics,Y,C
1076,Master of Data Analytics,Y,C
1078,Master of Data Analytics,Y,C
1082,Master of Data Analytics,Y,C
1083,Master of Data Analytics,Y,C
1084,Master of Data Analytics,Y,C
1085,Master of Data Analytics,Y,C
1087,Master of Data Analytics,Y,C
1088,Master of Data Analytics,Y,C
1089,Master of Data Analytics,Y,C
1091,Master of Data Analytics,Y,C
1092,Master of Data Analytics,Y,C
1093,Master of Data Analytics,Y,C
1095,Master of Data Analytics,Y,C
1096,Master of Data Analytics,Y,C
1097,Master of Data Analytics,Y,C
1098,Master of Data Analytics,Y,C
1100,Master of Data Analytics,Y,C
1101,Master of Data Analytics,Y,C
1102,Master of Data Analytics,Y,C
1103,Master of Data Analytics,Y,C
1104,Master of Data Analytics,Y,C
1112,Master of Data Analytics,Y,C
1113,Master of Data Analytics,Y,C
1115,Master of Data Analytics,Y,C
1117,Master of Data Analytics,Y,C
1118,Master of Data Analytics,Y,C
1123,Master of Data Analytics,Y,C
1124,Master of Data Analytics,Y,C
1125,Master of Data Analytics,Y,C
1126,Master of Data Analytics,Y,C
1128,Master of Data Analytics,Y,C
1129,Master of Data Analytics,Y,C
1130,Master of Data Analytics,Y,C
1131,Master of Data Analytics,Y,C
1132,Master of Data Analytics,Y,C
1133,Master of Data Analytics,Y,C
1134,Master of Data Analytics,Y,C
1135,Master of Data Analytics,Y,C
1136,Master of Data Analytics,Y,C
1138,Master of Data Analytics,Y,C
1139,Master of Data Analytics,Y,C
1147,Master of Data Analytics,Y,C
1149,Master of Data Analytics,Y,C
1151,Master of Data Analytics,Y,C
1155,Master of Data Analytics,Y,C
1156,Master of Data Analytics,Y,C
1157,Master of Data Analytics,Y,C
1159,Master of Data Analytics,Y,C
1163,Master of Data Analytics,Y,C
1165,Master of Data Analytics,Y,C
1166,Master of Data Analytics,Y,C
1168,Master of Data Analytics,Y,C
1173,Master of Data Analytics,Y,C
1174,Master of Data Analytics,Y,C
1176,Master of Data Analytics,Y,C
1177,Master of Data Analytics,Y,C
1178,Master of Data Analytics,Y,C
1181,Master of Data Analytics,Y,C
1186,Master of Data Analytics,Y,C
1188,Master of Data Analytics,Y,C
1189,Master of Data Analytics,Y,C
1106,Master of Data Analytics,Y,N
1175,Master of Data Analytics,Y,N
1033,Master of Data Analytics,Y,V
1046,Master of Data Analytics,Y,V
1050,Master of Data Analytics,Y,V
1056,Master of Data Analytics,Y,V
1059,Master of Data Analytics,Y,V
1060,Master of Data Analytics,Y,V
1063,Master of Data Analytics,Y,V
1064,Master of Data Analytics,Y,V
1065,Master of Data Analytics,Y,V
1073,Master of Data Analytics,Y,V
1074,Master of Data Analytics,Y,V
1077,Master of Data Analytics,Y,V
1079,Master of Data Analytics,Y,V
1080,Master of Data Analytics,Y,V
1081,Master of Data Analytics,Y,V
1086,Master of Data Analytics,Y,V
1090,Master of Data Analytics,Y,V
