country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,36.9,29.4,30.8,28.3,29.8,24.7,29.1,26.1,23.6,23.6,22.6,22,20.5,21,
Albania,,,,,,,,,,,,,,,,,,,,,33.6,32.4,31.7,34.1,33.1,34.6,34,33.2,31.5,32.3,35.9,39.3,51.6,54.6,53.6,55.8,35.1,30.2,27.1,24.4,23.5,21.9,21.6,21.5,20.2,18.6,17.5,17.1,16.8,16.8,18,18.2,18.8,19.6,20,19.8,19.9,19
Algeria,18.6,17.8,18.1,15.4,13,14.4,10.3,11.7,12.2,10.2,9.69,10.1,8.96,7.59,7.02,9.63,9.2,7.81,8.07,8.4,7.94,8.52,7.76,7.1,6.84,8.27,9.28,11.7,11.1,12,10.4,9.22,11.2,11.2,9.23,9.54,10.8,8.73,11.5,11.1,8.4,9.75,9.22,9.81,9.44,7.69,7.54,7.57,6.59,9.34,8.47,8.11,8.77,9.85,10.3,11.6,12.3,12.3
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487,0.459,0.406,0.444,0.442,0.405,0.382,0.399,0.442,0.435,0.5,0.535,0.612,0.577,0.496,0.47,0.492,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.9,11.7,14.5,17.4,16.4,28.6,7.89,10.5,6.08,6.65,7.03,9,12.9,6.29,5.66,8.16,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,4.97,4.49,3.58,3.07,2.96,2.7,2.68,2.04,2.13,1.87,1.91,1.77,1.71,1.78,1.78,1.8,1.75,1.58,1.64,1.62,1.72,1.67,1.67,1.59,1.61,1.73,1.75,1.61,1.76,1.65,1.61,1.55,1.5,1.63,1.93,1.88,2,1.57,1.67,1.64,1.63
Argentina,,,,,,12.9,10.3,9.98,9.72,9.19,9.64,10.9,11,12,10.2,6.58,8.15,8.09,7.5,7.8,6.35,6.48,9.6,8.66,8.35,7.63,7.8,8.09,8.98,9.62,8.12,6.72,5.99,5.14,5.08,5.35,5.61,5.22,5.25,4.46,4.68,4.57,10.2,10.3,8.36,7.94,6.94,7.45,7.32,5.27,7.13,7,5.78,6.05,6.71,5.16,6.35,5.61
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23.6,28.5,49.3,43.5,40.7,34.8,29.4,30.8,27,23.2,25.6,23.4,21.5,22.6,19.1,18.7,18.2,16.3,16.9,17,20.3,17.9,18.4,18.1,17.2,16.4,14.9
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,3.18,3.05,3.26,3.35,3.02,3.39,3.24,3.04,3.06,3.12,3.5,3.95,2.89,3.07,2.89,2.73,2.2,2.34,2.3,2.2,2.28,2.26,2.28,2.22,2.37,2.43,2.77
Austria,,,,,,,,,,,,,,,,,5.11,4.41,4.41,4.29,4.33,3.97,3.65,3.41,3.58,3.14,3.23,3.2,3.05,3.01,3.1,2.81,2.45,2.2,2.37,2.16,1.98,1.91,1.79,1.72,1.65,1.67,1.56,1.49,1.48,1.26,1.3,1.42,1.34,1.15,1.27,1.4,1.35,1.25,1.2,1.11,1.1,1.13
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,30.5,26.1,27.1,32.3,25.2,24.8,20.1,18.1,18.4,16.1,14.8,14,12.4,11,9.1,7.1,6.7,5.6,6.1,5.5,5.1,5.14,5.37,5.3,6.2,5.6,5.63
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,2.04,1.9,1.81,1.83,,2.01,2.21,2.83,2.66,2.46,2.68,2.83,2.65,1.56,1.38,1.27,1.34,1.2,1.51,1.35,1.16,1.06,1.17,1.09,1.04,0.91,1.1,1.09,1.07,0.915,0.852,0.818,0.88,1
Bahrain,,,,,,,,,,,,,,,,,,,,,0.984,1.01,1.06,1.15,1.12,1.19,1.37,1.34,1.18,1.14,0.949,0.882,0.91,0.851,0.86,0.863,,,,,,,,,,,,0.292,0.265,0.337,0.298,0.291,0.276,0.275,0.3,0.315,0.333,0.292
Bangladesh,57.5,58,57,57.1,53.4,52.8,53.9,55.9,53.6,55.4,54.6,51,59.6,56.6,56.6,62,51.9,48.9,54.3,52.5,32.8,32,31.4,31,34.7,33,32.4,32.7,31.3,30.6,30.5,31.7,30.5,27.3,26.7,27.3,23.3,23.2,22.6,22.7,22.7,21.8,20.6,19.8,19.3,18.6,18,17.8,17.6,17.1,17,16.8,16.2,15.5,15.4,14.8,14,13.4
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,3.48,3.45,3.25,2.44,3.14,3.27,2.62,1.95,2.29,1.96,2.08,1.85,1.94,1.61,1.55,1.44,1.35,1.23,1.42,1.32,1.23,1.32,1.44,1.38,1.34,1.38,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,22.2,22.8,17.2,13.6,15.8,15.1,13.4,12.1,12.7,12.1,10.4,10.1,8.64,8.85,8.52,8.58,8.3,8.67,8.37,8.89,8,8.13,6.81,7.3,6.28,6.9,7.77
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.32,1.33,1.25,1.07,1.17,1.1,1.03,1.02,1.02,0.837,0.903,0.885,0.708,0.649,0.762,0.644,0.785,0.688,0.649,0.683,0.617,0.618
Belize,,,,,,,,,,,,,,,,,,,29,28.1,24,23,19.7,18.9,18.3,17.8,18.1,19.7,18.8,18.1,17.4,15.9,16,15.1,15.1,15.9,15.8,15.4,14.8,15.6,14.6,13.1,12.7,14.5,14.3,13.3,12.7,11.5,11,11.2,11.5,11.4,13.1,13.4,13.5,12.6,10.6,10.9
Benin,46.2,46.2,44.7,43.7,45.5,44.6,45.1,42.1,38.9,38.5,36.3,34.4,34.2,33.6,31.5,30.5,33.2,31.9,34.5,35,35.4,32.7,32.5,33.2,33.3,31.5,33.7,33.3,34.4,37.9,34.7,35,33.9,34.1,32.3,33.1,35.7,35.8,36.6,23.2,22.9,23,23.9,22.8,24.8,24.7,25.2,24.3,24,23.8,22.7,22.8,22.3,21.3,21.5,22.5,23.2,22.4
Bhutan,,,,,,,,,,,,,,,,,,,,,42.9,40.7,41.5,41.4,41.7,42.6,41.4,35.8,37.5,35.2,34.4,32.9,33.4,31.4,33.4,30.8,30.2,30,28.5,26.3,26.8,25.6,25.5,24.4,24,22.3,21.4,18.7,18.4,18.2,16.8,16.3,16,16.1,16.8,16.7,16.5,15.2
Bolivia,,,,,,,,,,,19.5,19.8,19.3,20.1,21.2,20.8,20.6,20.2,18.5,18.1,16.9,17.3,16.1,19.5,21.5,19,16.9,16.3,15.7,15.3,15.4,15.5,14.4,14.6,15.2,14.9,14.2,14.9,12.6,13.3,13,13.3,13,13.4,13.3,11.8,10.9,10,10.4,11.2,10.4,9.77,9.81,9.97,9.74,10.2,11.2,11.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,20.7,20.7,17.5,16,13.3,8.9,8.87,8.27,7.34,8.85,8.29,8.05,7.7,7.21,7.08,6.8,6.76,6.14,6.84,5.95,6.24,6.37,5.82
Botswana,43.2,41.9,40.7,39.7,38.6,33.8,39.3,41.3,43.7,38.7,33,33,33,33.1,31.8,27.5,24.7,22.6,18.4,14.5,12.7,12.4,10.3,7.97,6.89,5.92,5.29,6.24,5.63,4.7,4.53,4.38,4.63,4.52,3.76,4.64,3.69,3.54,3.17,2.99,2.79,2.59,2.43,2.72,2.26,1.83,2.05,2.24,2.53,2.82,2.49,2.46,2.65,2.3,2.09,2.2,2.05,1.99
Brazil,17.7,17.1,15.5,15.1,15.8,16.7,13.3,13,11.8,11.1,10.4,11,11.1,11.4,11.2,10.7,11.5,12.9,10.3,9.9,9.95,9.64,8.06,9.83,10.4,10.5,9.93,9.01,9.14,8.44,6.87,6.79,6.78,6.56,8.54,5.01,4.77,4.69,4.75,4.65,4.75,4.8,5.48,6.17,5.67,4.65,4.37,4.42,4.57,4.48,4.12,4.34,4.17,4.51,4.33,4.32,4.89,4.57
Brunei,,,,,,,,,,,,,,,1.34,1.34,1.11,1.02,1.09,0.902,0.635,0.694,0.844,0.985,1.07,1.21,1.93,1.93,2.22,0.962,0.966,1.02,0.965,1.08,1.2,1.16,1.12,1.23,1.41,1.23,1.02,1.13,1.09,1.22,1.13,0.947,0.706,0.69,0.636,0.909,0.733,0.575,0.655,0.685,0.863,1.1,1.2,1.09
Bulgaria,,,,,,,,,,,,,,,,,,,,,14.4,16.6,17.2,14.5,15.8,11.9,12.9,11.8,11.5,10.9,17.7,15.4,11.6,9.93,11.5,13.1,11.6,20.6,13.8,13.1,11,10.7,9.76,9.11,8.46,7.29,6.12,4.65,5.88,4.24,4.16,4.6,4.56,4.6,4.57,4.14,4.05,3.74
Burkina Faso,38.5,38.3,37.9,38.5,38.7,35.4,36.3,33.4,31.6,32,30.5,30.6,31.9,29.4,30.8,28.9,29,28.4,30.1,29.4,28.4,29.8,27.5,27.6,28.5,33.9,29.4,27.8,28.5,27.6,28,29.8,28.8,30.2,32.9,33.2,36.4,33.7,36.6,30.6,30.8,36.2,35.8,34.4,31.6,35.3,34,29.9,37,32.4,32.5,30.8,31.5,31.7,31.4,30.3,29,27.8
Burundi,,,,,,,,,,,65.3,64.8,60.8,63.3,61,61.3,59.5,55.6,54,53.8,57.6,58.1,52.6,53.5,54.7,56,52.5,50.6,48.2,47.1,51.1,48.6,48,47.2,40.7,42,53.4,42.4,44.5,47.6,44.1,43.8,43.3,42.8,41.9,40.8,40.6,34.4,37.2,37,37,36.9,37.1,36.3,35.7,37.1,36.4,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,45.6,47.7,44.5,44.4,44.5,40.9,35.7,34.3,31.1,32,29.4,30.7,30.1,29.7,32.8,33.5,33.9,34.6,33.5,31.6,28.9,26.6,24.7,23.4
Cameroon,,,,,,32.7,31.9,31.1,31.5,30.7,31.4,31,32,30.8,29.5,29.1,27.6,33.6,31.4,30.8,28.7,27.2,27,23.2,22,20.6,21.6,24,23.9,25.5,24,24.3,26.6,15.2,16.9,17.9,17.7,18.2,17.6,18.3,16.7,17.4,16.5,15.9,15.5,14.1,13.2,13.2,13.1,13.7,14.1,13.5,13.7,13.9,14.2,14.8,15.3,15.3
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.6,1.38,1.33,1.61,1.65,1.73,1.42,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,18.6,15.8,12.6,12.1,11.9,13,13.6,17.6,17.7,16.2,14.4,13.4,11.8,10.1,12.9,13.7,12.4,11.7,10.9,13.6,12.9,11.4,10.4,10.1,9.86,9,8.32,8.52,7.75,8.32,7.99,7.84,8.45,8.28,8.02,8.74,8.46,6.41
Central African Republic,,,,,,43.6,39.4,37,33.9,33.8,31.8,33.2,34.3,34.1,39.1,35.1,37.7,37.6,37.2,37.4,37.6,37.3,39.3,38.2,39.2,43.7,46.8,44.2,45.8,44.4,45.3,43,43.9,43.8,42.8,44.1,50.2,51.4,51.5,48.3,49.5,51,50.9,54.3,52.6,52.2,52.6,51.2,52.6,51.1,50.3,51.6,50.7,43.8,40.6,40,40.5,39.6
Chad,39.7,38.7,38.5,38,36.6,35.8,36.6,39.9,39.5,38.4,37.1,37.2,37.8,36.5,36.7,37,35.8,35.5,36.1,41.3,45.7,40.3,40,38.9,32.6,37,31.7,31.8,35.2,30.2,27.9,35.5,34.3,31.4,37.2,35.1,37.5,38.3,39,38.1,40.7,40.3,37.9,32.3,22.9,53.8,55.8,54.7,54.6,46.5,51.9,51.2,54.9,50,50.6,50.2,49.5,48.6
Chile,9.91,9.55,8.73,7.58,8.17,8.44,8.83,8.21,7.34,6.53,6.47,7.75,7.9,6.34,5.45,6.23,8.05,9.41,7.32,6.91,6.86,6.19,5.87,5.64,7.04,6.88,8.04,8.18,7.87,7.66,7.54,8.48,8.39,7.25,6.7,6.22,5.45,5.44,5.7,5.64,5.38,4.41,4.44,4.46,4.06,4.13,3.88,3.71,3.71,3.74,3.62,3.67,3.3,3.38,3.93,3.76,4.03,3.83
China,23.2,35.8,39,39.9,38,37.5,37.2,39.8,41.6,37.5,34.8,33.6,32.4,32.9,33.4,32,32.4,29,27.7,30.7,29.6,31.3,32.8,32.6,31.5,27.9,26.6,26.3,25.2,24.6,26.6,24,21.3,19.3,19.5,19.6,19.3,17.9,17.2,16.1,14.7,14,13.3,12.3,12.9,11.6,10.6,10.3,10.3,9.79,9.53,9.43,9.42,9.3,9.06,8.83,8.56,7.92
Colombia,,,,,,29.3,28.5,28.3,28.3,27.5,25.1,23.5,24.1,24.1,24.4,23.9,23.6,25,23,21.5,19.4,19.2,18.8,18.7,17.4,17,17.5,18.1,16.7,16.1,16.2,17,15.5,13.6,14.8,14,12.8,12.6,13.2,13,8.31,8.32,8.51,8.33,7.91,7.73,7.36,7.12,6.87,6.86,6.5,6.25,5.79,5.59,5.66,6.04,6.67,6.46
Comoros,,,,,,,,,,,,,,,,,,,,,34,34.2,33.5,35,34.6,36.1,37.4,38,39.5,40.9,41.4,39.7,39.5,39.1,37.6,40.9,40.9,40.9,40.9,40.9,38.9,40.9,41.1,41.1,41.1,41.2,41,40.8,42.6,42.6,39.6,38.8,36.9,35.9,34.5,33.6,,
"Congo, Dem. Rep.",,,,,,20.1,21.6,21.6,21.8,18,14.7,13.6,13.8,13.8,14.6,16.5,21.8,23.1,26.6,27.3,25.3,24.7,30.1,33.1,29.8,29.9,31.6,29,29,27.8,30.1,40,49.2,51.3,56.5,56.5,33.3,47.5,46.5,52.4,32,32.9,26.6,26.1,23.9,21.6,21.2,21.6,22.6,23.7,21.4,20.9,20.4,19.3,18.6,18.4,18.6,19.9
"Congo, Rep.",23.6,20.5,19.8,21,21.1,19.1,19.2,19.9,19.6,17.7,17.9,17.1,16.4,15.7,15.1,14.5,13.5,15.4,16,14.3,11.7,7.88,7.86,7.58,6.92,7.45,12.1,11.9,13.9,12.9,12.9,11.3,11.5,11.2,10.3,10.5,8.99,9.14,11,8.36,5.3,5.8,6.26,6.28,5.51,4.54,3.96,4.33,3.68,4.51,3.83,3.38,3.93,4.36,4.83,7.24,8.73,7.24
Costa Rica,26,25.7,25.8,24.5,24.6,23.5,23.2,23.2,23.3,23.1,22.5,20.4,20.1,20.2,19.4,20.3,20.4,21.9,20.4,18.5,17.8,23,24.5,12.3,11.8,10.6,11.7,12.1,11.7,11.2,11.1,12,11.9,11.9,12.4,12.8,12.2,12.6,12.7,11.2,9.29,8.41,8.47,8.88,8.89,8.66,8.47,7.96,7.02,7.09,6.59,5.84,5.41,5.04,5.12,4.96,5.19,5.2
Cote d'Ivoire,47.9,46.4,45.9,44.2,39.8,39.6,37.4,34.8,35.6,33.6,31.9,30.9,29.8,31,25.5,28.2,24.5,24.3,25.9,26.4,25.9,26.5,24.1,21.9,24.1,26.5,28.5,29.2,32,32.7,32.5,33.3,34,28.2,25.3,24.7,24.6,23.3,24.2,23.2,25,25.9,27.3,28.8,23.6,22.6,22.6,22,22.7,21.2,24.5,26.7,22.5,21,21.1,22.7,20.9,20.5
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99,5.88,5.5,5.7,5.81,5.33,5.34,5.26,4.33,4.68,4.23,4.35,4.11,4.23,4.36,4.16,4.01,3.79,3.71,3.5,3.52,3.43,3.29
Cuba,,,,,,,,,,,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.2,12,12.1,12.2,12.3,12.4,11.2,12.4,12.6,12.8,12.7,13,12.8,12.4,9.57,7.9,6.88,7.13,7.19,6.12,6.12,6.6,6.38,5.95,5.75,5.47,4.36,3.41,3.91,3.82,3.93,3.61,3.6,3.85,3.92,3.94,3.84,,
Cyprus,,,,,,,,,,,,,,,,15.7,15.9,13.2,10.9,10.2,9.59,9.26,9.27,7.9,8.94,7.49,7.33,7.43,7.17,6.93,6.86,6.19,5.72,5.61,5.07,4.78,4.58,3.92,4.33,3.9,3.65,3.86,3.79,3.35,3.08,2.74,2.28,2.02,2.09,1.99,2.1,2.19,1.98,2.01,1.82,1.85,1.81,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,4.2,3.96,3.62,3.32,3.4,3.12,3.12,3.01,2.56,2.36,2.31,2.21,2.07,1.96,1.94,1.64,1.52,2.15,2.35,2.4,2.47,2.23,2.21,2.19
Denmark,,,,,,,,,,,4.6,4.56,4.79,5.28,5.16,4.41,4.3,4.66,4.71,3.97,4.07,4.33,4.65,4.03,4.65,4.22,3.88,3.45,3.16,3.5,3.29,3.03,2.79,2.69,2.6,2.85,2.79,2.64,2.14,1.94,2.15,2.34,1.78,1.61,1.62,1.15,1.17,1.17,0.858,0.834,1.2,1.31,1.65,1.3,1.38,0.803,0.801,1.15
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,1.87,1.78,1.94,2.19
Dominica,,,,,,,,,,,,,,,,,,31.1,32.7,28,26.4,25.9,24.4,23.2,22.2,22.3,24.3,23.7,22.5,18.7,19.8,19.1,18.1,17.3,17.7,14.9,16,15.5,15.1,15,11.8,11.2,10.7,10.8,11,11.3,10.5,10.4,11.6,12.6,11.5,12.5,12,13.9,13.4,14.2,16.1,15.7
