student_id,course_code,major_code
1,IN27, 
2,IN23, 
3,IN20,IN20MJR-DATASC
4,IN26, 
5,IN20,IN20MJR-DATASC
6,IN21,IN20MJR-SECUR
7,IN20,IN20MJR-BUSPMGT
8,IN20,IN20MJR-COMPSC
9,IN20,IN20MJR-DATASC
10,IN26, 
11,IN27, 
12,IN20,IN20MJR-COMPSC
13,IN27, 
14,IN27, 
15,IN26, 
16,IN20,IN20MJR-BUSPMGT
17,IN20,IN20MJR-COMPSC
18,IN20,IN20MJR-DATASC
19,IN27, 
20,IN20,IN20MJR-DATASC
21,IN20,IN20MJR-COMPSC
22,IN27, 
23,IN20, 
24,IN27, 
25,IN26, 
26,IN27, 
27,IN20,IN20MJR-DATASC
28,IN27, 
29,IN27, 
30,IN20,IN20MJR-DATASC
31,IN20,IN20MJR-DATASC
32,IN20,IN20MJR-DATASC
33,IN27, 
34,IN27, 
35,IN26, 
36,IN27, 
37,IN20,IN20MJR-COMPSC
38,IN27, 
39,IN27, 
40,IN20,IN20MJR-DATASC
41,IN27, 
42,IN20,IN20MJR-DATASC
43,IN20,IN20MJR-DATASC
44,IN20,IN20MJR-COMPSC
45,IN23, 
46,IN27, 
47,IN26, 
48,IN23, 
49,IN21,IN20MJR-DATASC
50,IN27, 
51,IN20,IN20MJR-COMPSC
52,IN20,IN20MJR-BUSPMGT
53,IN20,IN20MJR-COMPSC
54,IN27, 
55,IN27, 
56,IN20,IN20MJR-ENTSYS
57,IN20,IN20MJR-DATASC
58,IN27, 
59,IN26, 
60,IN26, 
61,IN21,IN20MJR-INFOMGT
62,IN26, 
63,IN23, 
64,IN20,IN20MJR-DATASC
65,IN27, 
66,IN26, 
67,IN26, 
68,IN20,IN20MJR-BUSPMGT
69,IN20,IN20MJR-BUSPMGT
70,IN27, 
71,IN21,IN20MJR-DATASC
72,IN27, 
73,IN27, 
74,IN20,IN20MJR-ENTSYS
75,IN27, 
76,IN20,IN20MJR-BUSPMGT
77,IN20,IN20MJR-DATASC
78,IN20,IN20MJR-DATASC
79,IN27, 
80,IN27, 
81,IN20,IN20MJR-DATASC
82,IN27, 
83,IN27, 
84,IN20,IN20MJR-DATASC
85,IN20,IN20MJR-COMPSC
86,IN27, 
87,IN20,IN20MJR-COMPSC
88,IN27, 
89,IN20,IN20MJR-COMPSC
90,IN27, 
91,IN20,IN20MJR-DATASC
92,IN27, 
